Pore Area (µm²),Equivalent Diameter (µm)
1.3316706485636034,1.3021273863621412
3.86184488083445,2.217443036001483
1.420448691801177,1.3448313818723105
1.3760596701823902,1.3236516112600947
10.253863993939746,3.6132568582125626
3.5511217295029422,2.1263651177940894
1.5092267350387505,1.386220459026224
1.819949886370258,1.5222457635884157
2.2638401025581256,1.697766397810462
1.8643389079890447,1.5406979010954815
5.23790455101684,2.5824614626171907
1.9531169512266182,1.5769545769597515
8.300747042713128,3.2509751438031347
1.9531169512266182,1.5769545769597515
6.525186177961657,2.882381841210508
1.420448691801177,1.3448313818723105
5.415460637491987,2.625867216104328
57.972062234135535,8.591409786894655
10.387031058796106,3.6366438781452817
2.0862840160829785,1.6298280003809416
7.501744653574966,3.0905530164417554
2.885286405221141,1.9166796156411534
29.60747741973078,6.139821745837141
7.324188567099819,3.05375940714534
10.387031058796106,3.6366438781452817
3.9506229240720234,2.2427860649793954
1.9531169512266182,1.5769545769597515
3.86184488083445,2.217443036001483
2.175062059320552,1.6641439319301758
7.235410523862245,3.0351953481406055
1.5536157566575373,1.406458324551431
1.5092267350387505,1.386220459026224
1.7755608647514711,1.5035671940707322
3.99501194569081,2.2553507911060984
1.997505972845405,1.594773838345567
1.4648377134199637,1.3656827242612875
1.6867828215138976,1.4654960224208895
4.438902161878678,2.377348474185965
4.083789988928384,2.2802725508800896
1.3316706485636034,1.3021273863621412
3.062842491696288,1.9747739566145015
1.4648377134199637,1.3656827242612875
1.7311718431326844,1.484653646278684
1.9087279296078314,1.5589316470317631
5.681794767204708,2.689662763744621
12.562093118116659,3.9993191573856137
2.352618145795699,1.7307358137187197
16.867828215138974,4.634305332767197
8.433914107569487,3.2769487268886652
14.204486918011769,4.252730235588179
1.5092267350387505,1.386220459026224
2.7521193403647803,1.8719260605010257
2.7521193403647803,1.8719260605010257
2.0862840160829785,1.6298280003809416
2.5745632538896333,1.8105346572972074
40.03889750014567,7.1399655198595555
4.705236291591398,2.447630060645848
6.969076394149524,2.978809100179384
4.882792378066545,2.4933841149100493
5.681794767204708,2.689662763744621
4.971570421304119,2.5159491369739686
2.7077303187459933,1.8567685150028115
5.193515529398053,2.571495546997073
16.912217236757762,4.640399096520861
3.7730668375968763,2.191806994823492
32.226429695239204,6.405619772793737
3.062842491696288,1.9747739566145015
7.7236897616689,3.1359380153030685
9.676806712895518,3.510112957387163
5.859350853679855,2.731365448522575
4.572069226735039,2.4127451876950805
13.316706485636034,4.11768834458644
5.726183788823494,2.700148818186045
2.175062059320552,1.6641439319301758
24.01446069576365,5.529571502687579
1.8643389079890447,1.5406979010954815
4.794014334828972,2.4706130067518637
2.840897383602354,1.9018787793487724
45.143634986306154,7.5814682784837135
4.660847269972612,2.436057276851276
5.1491265077792665,2.5604826674962347
2.219451080939339,1.681039227340388
3.5067327078841557,2.1130335436273433
2.7077303187459933,1.8567685150028115
2.397007167414486,1.7469872107619284
2.175062059320552,1.6641439319301758
1.3316706485636034,1.3021273863621412
4.794014334828972,2.4706130067518637
5.637405745585921,2.6791356675236155
1.4648377134199637,1.3656827242612875
6.214463026630149,2.812916649102862
3.240398578171435,2.0312074267369806
1.3760596701823902,1.3236516112600947
1.3760596701823902,1.3236516112600947
3.196009556552648,2.0172470728084657
2.61895227550842,1.8260760123695454
8.567081172425848,3.302718052103248
8.744637258900996,3.3367675919064617
3.86184488083445,2.217443036001483
79.19001456791561,10.041307588955922
1.7311718431326844,1.484653646278684
3.7730668375968763,2.191806994823492
1.7311718431326844,1.484653646278684
2.885286405221141,1.9166796156411534
1.4648377134199637,1.3656827242612875
3.062842491696288,1.9747739566145015
4.305735097022318,2.341416706757451
1.819949886370258,1.5222457635884157
1.598004778276324,1.4264090845115793
5.770572810442282,2.7105943071637704
6.48079715634287,2.872561090884393
4.261346075403531,2.3293162810159047
1.420448691801177,1.3448313818723105
2.1306730377017655,1.647075337834576
6.702742264436804,2.9213347136623438
1.6867828215138976,1.4654960224208895
3.196009556552648,2.0172470728084657
5.282293572635627,2.5933810101063175
4.350124118641104,2.353454918276543
1.997505972845405,1.594773838345567
3.3291766214090086,2.05884417229322
3.1072315133150745,1.9890324374931738
2.5745632538896333,1.8105346572972074
1.997505972845405,1.594773838345567
2.9740644484587144,1.9459435922884831
1.9531169512266182,1.5769545769597515
1.5092267350387505,1.386220459026224
5.548627702348347,2.6579563972426112
18.066331798846218,4.796120106356528
2.0862840160829785,1.6298280003809416
2.7077303187459933,1.8567685150028115
2.397007167414486,1.7469872107619284
32.5815418681895,6.440815750743321
5.903739875298641,2.7416920087894754
1.7755608647514711,1.5035671940707322
1.8643389079890447,1.5406979010954815
6.835909329293164,2.950211870744215
6.969076394149524,2.978809100179384
1.420448691801177,1.3448313818723105
7.590522696812539,3.108786525767171
2.2638401025581256,1.697766397810462
17.134162344851696,4.670748661978863
2.3082291241769126,1.7143303646647152
5.548627702348347,2.6579563972426112
1.7311718431326844,1.484653646278684
1.5092267350387505,1.386220459026224
1.3316706485636034,1.3021273863621412
4.838403356447759,2.48202467489923
89.84337975642444,10.695426309340744
1.997505972845405,1.594773838345567
9.63241769127673,3.5020529858841534
6.125684983392576,2.792752112065406
2.663341297127207,1.8414862097307716
1.7311718431326844,1.484653646278684
4.527680205116251,2.4010042655248705
3.817455859215663,2.204662278044946
2.4857852106520597,1.7790446958747352
1.4648377134199637,1.3656827242612875
2.885286405221141,1.9166796156411534
1.5092267350387505,1.386220459026224
12.606482139735446,4.006378861304647
2.2638401025581256,1.697766397810462
4.794014334828972,2.4706130067518637
1.4648377134199637,1.3656827242612875
5.015959442922906,2.527156092827905
1.3316706485636034,1.3021273863621412
5.593016723967134,2.6685670438121027
1.7755608647514711,1.5035671940707322
1.9087279296078314,1.5589316470317631
9.676806712895518,3.510112957387163
1.4648377134199637,1.3656827242612875
2.7077303187459933,1.8567685150028115
1.6867828215138976,1.4654960224208895
1.6867828215138976,1.4654960224208895
2.7077303187459933,1.8567685150028115
2.0862840160829785,1.6298280003809416
9.543639648039157,3.48587713503873
2.840897383602354,1.9018787793487724
7.501744653574966,3.0905530164417554
3.4623436862653687,2.0996173219939824
3.817455859215663,2.204662278044946
6.658353242818017,2.9116453512698808
1.5536157566575373,1.406458324551431
7.634911718431326,3.1178632940635262
1.3760596701823902,1.3236516112600947
5.415460637491987,2.625867216104328
1.7755608647514711,1.5035671940707322
1.9087279296078314,1.5589316470317631
3.018453470077501,1.960411773593943
2.397007167414486,1.7469872107619284
4.0394009673095965,2.267845904954754
30.45086883048773,6.226656435561573
3.5955107511217292,2.139613626767369
1.7755608647514711,1.5035671940707322
8.567081172425848,3.302718052103248
2.1306730377017655,1.647075337834576
114.4792867548511,12.073092186732973
1.598004778276324,1.4264090845115793
1.997505972845405,1.594773838345567
3.5067327078841557,2.1130335436273433
1.7311718431326844,1.484653646278684
1.5536157566575373,1.406458324551431
1.7755608647514711,1.5035671940707322
1.6867828215138976,1.4654960224208895
6.436408134724083,2.8627066498657854
7.013465415768311,2.9882806951470697
4.350124118641104,2.353454918276543
4.1281790105471705,2.2926318422228924
2.7077303187459933,1.8567685150028115
30.006978614299864,6.181106032883511
2.2638401025581256,1.697766397810462
2.0862840160829785,1.6298280003809416
1.3760596701823902,1.3236516112600947
5.992517918536215,2.762229314596157
3.2847875997902216,2.0450724848055164
15.891269739525667,4.498154404688363
2.2638401025581256,1.697766397810462
1.7755608647514711,1.5035671940707322
1.819949886370258,1.5222457635884157
3.7286778159780893,2.1788758672489914
2.352618145795699,1.7307358137187197
7.501744653574966,3.0905530164417554
2.9740644484587144,1.9459435922884831
2.0862840160829785,1.6298280003809416
2.840897383602354,1.9018787793487724
1.6423937998951108,1.4460846220240036
1.5536157566575373,1.406458324551431
1.3316706485636034,1.3021273863621412
3.684288794359303,2.1658675368551283
1.598004778276324,1.4264090845115793
8.300747042713128,3.2509751438031347
2.9296754268399274,1.9313670305489483
1.9531169512266182,1.5769545769597515
4.350124118641104,2.353454918276543
2.5745632538896333,1.8105346572972074
12.029424858691216,3.9136095143110348
1.6423937998951108,1.4460846220240036
6.791520307674377,2.9406176603909144
2.885286405221141,1.9166796156411534
10.564587145271254,3.6675945968931907
1.9531169512266182,1.5769545769597515
3.2847875997902216,2.0450724848055164
5.015959442922906,2.527156092827905
3.373565643027795,2.0725243505114475
1.997505972845405,1.594773838345567
